Pos,StartNr,Naam,Team,1_Swim,1_T1,1_Bike,1_T2,1_Run,Mix1,2_Run,2_T1,2_Bike,2_T2,2_Swim,Mix2,3_Bike,3_T1,3_Swim,3_T2,3_Run,Mix3,Totaal,Divisie
9,64,Matthijs Künzel,Triade - Zwolle,02:56,51.6,07:37,50,05:52,18:05,05:59,47.8,07:35,36.4,02:59,17:56,08:07,39,02:58,01:25,05:48,18:55,01:15:06,1e divisie
10,8,Joost Friderichs,TVA - Almere,02:56,47.7,07:24,44.2,06:11,18:01,06:13,47.3,07:28,38.3,02:48,17:53,08:11,38,02:56,01:23,06:03,19:10,01:15:06,1e divisie
11,66,Jeroen Velders,Metaglas / TZC Vahalis - Tiel,02:48,55.5,07:27,48,06:04,18:02,05:52,50.5,07:41,44.8,02:46,17:54,08:20,42,02:49,01:17,06:00,19:07,01:15:08,1e divisie
12,69,Marijn Geurken,Triathlon Soest,02:50,01:18,07:22,41.5,05:58,18:09,06:02,46.5,07:33,42.7,02:51,17:54,08:08,39.8,03:00,01:21,05:56,19:03,01:15:15,1e divisie
13,9,Peter Res,Hellas 2 - Utrecht,03:08,58.8,07:10,50.2,05:41,17:48,05:57,52.1,07:30,42.3,03:14,18:14,08:08,43.8,03:21,01:18,05:41,19:11,01:15:17,1e divisie
14,32,René Jaasma,AV Impala - Drachten,02:49,01:02,07:13,47.3,06:06,17:56,05:49,45.3,07:14,38.3,02:57,17:23,08:13,38.2,03:33,01:27,06:07,19:57,01:15:20,1e divisie
15,16,Remko Siers,TC Twente 2 - Enschede,02:53,01:07,07:11,51.2,06:15,18:15,06:09,50,07:24,44.8,02:49,17:56,08:02,44.5,02:48,01:18,06:15,19:06,01:15:23,1e divisie
16,59,Jesse Cuijpers,TV Weert,02:43,56.7,07:30,44.4,06:02,17:55,06:19,51.5,07:35,44.7,02:51,18:20,08:31,43.8,02:49,01:15,05:46,19:04,01:15:24,1e divisie
17,62,Han Peter Lucas,Triade - Zwolle,02:58,53.3,07:16,42.7,06:18,18:07,06:08,49.6,07:23,37.5,02:52,17:50,08:13,38.1,02:55,01:23,06:14,19:21,01:15:26,1e divisie
18,13,Kolja Milobinski,TC Twente 2 - Enschede,02:51,01:08,07:26,49.3,05:59,18:11,05:56,50.6,07:30,44,02:57,17:56,08:04,50.5,03:02,01:22,05:55,19:12,01:15:28,1e divisie
